url,destLabel,destinationLabelId,MHID
/holiday-residence-hotel-sirmione-milan-italy,Italy,10234,44108
/grand-hotel-puccini-milan-italy,Italy,10234,44111
/la-rotonda-hotel-tignale-milan-italy,Italy,10234,44115
/grand-hotel-visconti-palace-milan-italy,Italy,10234,44118
/simplon-hotel-baveno-milan-italy,Italy,10234,44121
/holiday-hotel-torbole-nago-milan-italy,Italy,10234,44122
/giardino-hotel-torbole-nago-milan-italy,Italy,10234,44123
/grand-hotel-britannia-excelsior-como-milan-italy,Italy,10234,44124
/bel-sit-hotel-meina-milan-italy,Italy,10234,44126
/villa-paradiso-hotel-meina-milan-italy,Italy,10234,44127
/antico-monastero-hotel-toscolano-maderno-milan-italy,Italy,10234,44128
/giulietta-e-romeo-hotel-verona-italy,Italy,10234,44135
/villa-jolanda-hotel-ziano-di-fiemme-milan-italy,Italy,10234,44136
/rosmari-hotel-brenzone-milan-italy,Italy,10234,44137
/pace-hotel-arco-milan-italy,Italy,10234,44138
/villa-nicole-residence-hotel-arco-milan-italy,Italy,10234,44141
/palace-hotel-citta-arco-milan-italy,Italy,10234,44145
/caravel-hotel-incl-rent-a-car-torbole-nago-milan-italy,Italy,10234,44147
/olivo-hotel-arco-milan-italy,Italy,10234,44148
/firenze-hotel-assenza-di-brenzone-milan-italy,Italy,10234,44153
/parc-hotel-germano-bardolino-milan-italy,Italy,10234,44155
/medil-hotel-campitello-di-fassa-venice-italy,Italy,10234,44159
/buenavista-apts-fb--hotel-benidorm-costa-blanca-spain,Spain,11101,44160
/la-rotonda-residence-hotel-tignale-milan-italy,Italy,10234,44161
/andreas-hotel-canazei-milan-italy,Italy,10234,44165
/eden-residence-hotel-castelnuovo-del-garda-milan-italy,Italy,10234,44170
/park-hotel-azalea-cavalese-milan-italy,Italy,10234,44173
/hotel-portomagno-aguadulce-costa-de-almeria-spain,Spain,11101,44174
/zanella-eco-hotel-torbole-nago-milan-italy,Italy,10234,44175
/shandrani-hotel-tesero-milan-italy,Italy,10234,44176
/park-hotel-rio-stava-family-spa-tesero-milan-italy,Italy,10234,44177
/eco-ambient-hotel-elda-concei-milan-italy,Italy,10234,44179
/hotel-cabogata-mar-garden-retamar-costa-de-almeria-spain,Spain,11101,44185
/riel-hotel-sirmione-milan-italy,Italy,10234,44187
/the-garda-village-hotel-sirmione-milan-italy,Italy,10234,44189
/porto-azzurro-hotel-sirmione-milan-italy,Italy,10234,44190
/hotel-playacapricho-roquetas-de-mar-costa-de-almeria-spain,Spain,11101,44191
/hotel-bahia-serena-roquetas-de-mar-costa-de-almeria-spain,Spain,11101,44193
/grand-hotel-torre-sauze-doulx-milan-italy,Italy,10234,44195
/casa-vacanza-hotel-sauze-doulx-milan-italy,Italy,10234,44196
/hotel-sayonara-sauze-doulx-milan-italy,Italy,10234,44198
/florida-prata-hotel-sauze-doulx-milan-italy,Italy,10234,44199
/acquaviva-del-garda-hotel-desenzano-del-garda-milan-italy,Italy,10234,44202
/oliveto-hotel-desenzano-del-garda-milan-italy,Italy,10234,44204
/hotel-h2-granada-granada-spain,Spain,11101,44207
/hotel-ac-palacio-de-santa-paula-granada-spain,Spain,11101,44208
/hotel-princesa-ana-granada-spain,Spain,11101,44209
/hotel-granada-centro-granada-spain,Spain,11101,44212
/hotel-vincci-albayzin-granada-spain,Spain,11101,44213
/hotel-vincci-granada-granada-spain,Spain,11101,44214
/hotel-presidente-granada-spain,Spain,11101,44216
/hotel-palacio-de-los-navas-granada-spain,Spain,11101,44217
/la-terrazza-hotel-sauze-doulx-milan-italy,Italy,10234,44218
/sportinia-hotel-sauze-doulx-milan-italy,Italy,10234,44220
/hotel-ah-granada-palace-granada-spain,Spain,11101,44221
/galeazzi-blu-hotel-salo-milan-italy,Italy,10234,44223
/hotel-dauro-granada-spain,Spain,11101,44231
/poiano-hotel-garda-milan-italy,Italy,10234,44234
/poiano-residence-hotel-garda-milan-italy,Italy,10234,44235
/vita-granada-hotel-granada-spain,Spain,11101,44237
/royal-village-hotel-garda-milan-italy,Italy,10234,44238
/park-hotel-jolanda-san-zeno-di-montagna-milan-italy,Italy,10234,44243
/leonardo-da-vinci-hotel-limone-verona-italy,Italy,10234,44252
/la-limonaia-hotel-limone-verona-italy,Italy,10234,44255
/park-hotel-casimiro-village-san-felice-del-benaco-verona-italy,Italy,10234,44256
/villa-dirce-hotel-limone-verona-italy,Italy,10234,44257
/garda-bellevue-hotel-limone-verona-italy,Italy,10234,44258
/hotel-commons-inn-cork-county-cork-ireland,Ireland,14915,44260
/hotel-spa-carlton-kinsale-cork-county-cork-ireland,Ireland,14915,44262
/hotel-trident-cork-county-cork-ireland,Ireland,14915,44263
/hotel-blarney-castle-cork-county-cork-ireland,Ireland,14915,44266
/sogno-hotel-limone-verona-italy,Italy,10234,44269
/villa-luisa-resort-hotel-san-felice-del-benaco-verona-italy,Italy,10234,44273
/capo-reamol-hotel-limone-verona-italy,Italy,10234,44276
/casa-albergo-sorriso-hotel-limone-verona-italy,Italy,10234,44281
/isaacs-hotel-cork-county-cork-ireland,Ireland,14915,44287
/arnika-hotel-pozza-di-fassa-milan-italy,Italy,10234,44289
/hotel-roganstown-golf-country-club-dublin-ireland,Ireland,14915,44291
/ardmore-hotel-dublin-ireland,Ireland,14915,44292
/metro-dublin-airport-hotel-dublin-ireland,Ireland,14915,44293
/hotel-petit-palace-savoy-alfonso-xii-madrid-spain,Spain,11101,44296
/hotel-petit-palace-san-bernardo-madrid-spain,Spain,11101,44298
/petit-palace-alcala-torre-hotel-madrid-spain,Spain,11101,44299
/g3-galeon-aparthotel-madrid-spain,Spain,11101,44301
/cristallo-hotel-malcesine-milan-italy,Italy,10234,44302
/al-parco-residence-ex-alpi-hotel-malcesine-milan-italy,Italy,10234,44303
/hotel-stillorgan-park-dublin-ireland,Ireland,14915,44307
/beacon-hotel-dublin-ireland,Ireland,14915,44309
/hotel-foxa-32-madrid-spain,Spain,11101,44315
/hotel-foxa-25-madrid-spain,Spain,11101,44318
/hotel-lido-pieve-di-ledro-milan-italy,Italy,10234,44319
/hotel-foxa-m30-madrid-spain,Spain,11101,44321
/hilton-dublin-airport-hotel-dublin-ireland,Ireland,14915,44322
/hotel-nh-la-habana-madrid-spain,Spain,11101,44323
/hotel-petit-palace-arenal-madrid-spain,Spain,11101,44328
/el-laresh-hotel-moena-milan-italy,Italy,10234,44332
/hotel-h2-mercader-madrid-spain,Spain,11101,44333
/garni-vajolet-hotel-moena-milan-italy,Italy,10234,44334
/hotel-h2-getafe-getafe-madrid-spain,Spain,11101,44338
/hotel-dinastia-getafe-madrid-spain,Spain,11101,44340
/hotel-sterling-madrid-spain,Spain,11101,44348
/hotel-hesperia-madrid-madrid-spain,Spain,11101,44352
/hotel-lynams-dublin-ireland,Ireland,14915,44354
/hotel-beresford-dublin-ireland,Ireland,14915,44356
/hotel-grand-canal-dublin-ireland,Ireland,14915,44357
/foxa-m30-suites-and-resort-hotel-madrid-spain,Spain,11101,44359
/hotel-vincci-centrum-madrid-spain,Spain,11101,44364
/hotel-nh-alberto-aguilera-madrid-spain,Spain,11101,44368
/hotel-ballsbridge-dublin-ireland,Ireland,14915,44370
/hotel-ocallaghan-alexander-dublin-ireland,Ireland,14915,44372
/pietra-di-luna-hotel-amalfi-naples-italy,Italy,10234,44375
/hotel-petit-palace-tres-cruces-madrid-spain,Spain,11101,44377
/hotel-nh-ribera-del-manzanares-madrid-spain,Spain,11101,44379
/hotel-clontarf-castle-dublin-ireland,Ireland,14915,44380
/hotel-vincci-soma-madrid-spain,Spain,11101,44389
/hotel-fitzpatricks-castle-dublin-ireland,Ireland,14915,44390
/hotel-cassidys-dublin-ireland,Ireland,14915,44391
/hotel-camden-court-dublin-ireland,Ireland,14915,44392
/hotel-jurys-custom-house-inn-dublin-ireland,Ireland,14915,44394
/hotel-clarion-dublin-airport-dublin-ireland,Ireland,14915,44396
/parco-del-sole-grand-hotel-sorrento-naples-italy,Italy,10234,44398
/hotel-aquaria-negresco-madrid-spain,Spain,11101,44404
