Mhid,TA,StarRating
4506,272925,4
4508,1913386,4
4512,2269118,4
4514,1886882,4
4517,1594907,4
4520,288782,2
4523,254219,2
4524,2258926,3
4526,502085,4
4528,289545,4
4532,1169377,3
4533,4762524,5
4542,6426517,3
4548,500228,4
4552,574103,4
4558,312004,4
4559,2197457,4
4560,0,5
4562,670578,5
4568,0,3
4569,250648,5
4570,278885,3
4575,584067,3
4576,250630,4
4577,1783055,1
4584,675894,3
4585,637224,4
4597,2160547,2
4603,1379832,4
4607,265043,3
4612,324847,3
4613,670184,3
4616,2298115,3
4618,7153373,2
4624,666375,2
4625,557113,5
4626,501322,4
4628,250590,4
4632,508139,2
4633,231662,3
4634,498780,1
4635,678465,3
4638,237160,2
4639,284376,4
4641,113343,2
4643,572131,5
4645,633252,2
4646,84432,3
4649,266811,2
4652,1422303,2
4654,613239,4
4657,231742,4
4662,232788,3
4665,253602,5
4669,535618,3
4670,585139,4
4671,1211475,3
4675,567825,3
4677,232731,5
4678,254170,5
4680,559389,2
4682,316151,3
4683,273031,3
4689,289464,4
4692,291024,3
4695,573190,2
4696,625146,5
4697,599140,5
4700,638682,3
4701,481328,3
4702,249109,4
4703,234570,2
4704,263714,1
4705,206936,4
4707,259430,3
4710,10902390,3
4711,258869,4
4712,317203,4
4716,227467,4
4717,598228,3
4718,229873,4
4719,508157,5
